gene,n.sh_sgRNAs.raw,n.sh_sgRNAs.passFilter.3VS1.A375_VS_plasmid,B.3VS1.A375_VS_plasmid,z.3VS1.A375_VS_plasmid,pval.3VS1.A375_VS_plasmid,FDR.3VS1.A375_VS_plasmid,B.sd.3VS1.A375_VS_plasmid
PPP4C,4,4,-6.526695973492652,-3.0857487215176835,0.0020304033025998576,0.179858525584026,1.257051898752064
PSMA6,4,4,-6.5254328275986735,-2.8030406469683906,0.005062328877764443,0.18470423896246185,1.5156087650326677
CDC7,4,4,-6.504858412395086,-3.0760234979609136,0.0020978131194177253,0.179858525584026,1.261000670134904
DNA2,4,4,-6.502562595166889,-3.1574165417569326,0.0015917379323502302,0.179858525584026,1.1937695839638172
CAD,4,4,-6.491366470488186,-3.395359754728649,6.853847732143476e-4,0.179858525584026,1.014197604284789
RPL35A,4,4,-6.488604359631104,-2.9458825174366217,0.0032203468876385835,0.179858525584026,1.3714336673965293
MCM7,4,4,-6.4720075818997875,-2.7514233267168637,0.00593369085312591,0.18470423896246185,1.5551663576889094
HSPE1,4,4,-6.4396797714412575,-3.051874849275219,0.002274168977421513,0.179858525584026,1.2686167189331776
DHX36,4,4,-6.426474420763587,-2.849968231420139,0.004372359605670378,0.18104256262671067,1.4471625061002122
UBE2I,4,4,-6.423210485777212,-3.229097201652708,0.0012418167923071064,0.179858525584026,1.1236842807291005
DCTN5,4,4,-6.417882732227001,-3.0803355305357303,0.0020676751650643265,0.179858525584026,1.240566840381079
NFS1,4,4,-6.40267814965476,-2.65824375979923,0.007854905697031471,0.19334276453953889,1.6357850601952895
RPL23,4,4,-6.3968819049783265,-3.113365029610249,0.0018496709040512487,0.179858525584026,1.209530283636929
EFTUD2,4,4,-6.394049519044937,-3.18897149998589,0.001427799536023278,0.179858525584026,1.1492310811710644
RPS8,4,4,-6.379195445028331,-3.06144492567686,0.002202715103655177,0.179858525584026,1.248716248287976
TRIAP1,4,4,-6.378911052035418,-3.2983650675578735,9.724960719275055e-4,0.179858525584026,1.0648189386533862
RPL18,4,4,-6.366833185145858,-2.9163523044711757,0.00354150353455316,0.179858525584026,1.3722439799648134
RPL12,4,4,-6.358282495660319,-3.2817997953091194,0.0010314681171576428,0.179858525584026,1.0733727875381098
RPS10,4,4,-6.357554834226435,-2.906051494811013,0.003660212072030603,0.179858525584026,1.3796057372647177
TBL3,4,4,-6.357507465722528,-2.9715573887940887,0.002962934929482746,0.179858525584026,1.3210652838375059
RPL34,4,4,-6.33129354562142,-3.218058556399396,0.0012906146668332213,0.179858525584026,1.1158814556241239
SOD1,4,4,-6.3078808273892815,-2.9834544125392775,0.002850144907059778,0.179858525584026,1.3004544611571254
ACTR10,4,4,-6.293604218820864,-2.7440509279167262,0.006068612232603185,0.18470423896246185,1.5196531776374305
TUFM,4,4,-6.283014374603707,-3.072575487861474,0.002122201497449021,0.179858525584026,1.220798704131081
NUP85,4,4,-6.280489750852523,-2.7979990387237055,0.005142026568087509,0.18470423896246185,1.4635702317428898
BIRC5,4,4,-6.2803753011356624,-2.9673752741151107,0.003003541159331003,0.179858525584026,1.3086597279911678
SUPT4H1,4,4,-6.278145517552777,-2.9369234292714164,0.003314859401310803,0.179858525584026,1.3348427625190964
RPS23,4,4,-6.269573586354878,-2.745058455886482,0.006050012006249089,0.18470423896246185,1.5128472897762824
CPSF3,4,4,-6.262182975034249,-2.922217664279196,0.0034754856206824173,0.179858525584026,1.344464394320012
GTPBP4,4,4,-6.256503106314645,-2.8658296376100862,0.004159180054326118,0.18029773915343164,1.3942212972468975
CPSF2,4,4,-6.244560784184403,-2.9599471489401483,0.003076918224789533,0.179858525584026,1.3076167049303054
RPL31,4,4,-6.238413664152829,-3.306704197539163,9.440051922760626e-4,0.179858525584026,1.0354832251368133
NLE1,4,4,-6.233358849244011,-3.1384981971889405,0.001698159796934875,0.179858525584026,1.1589526759940016
CCT6A,4,4,-6.233293395584619,-3.0153770684994936,0.0025665995769228074,0.179858525584026,1.2581324170286112
NAA20,4,4,-6.227778417591534,-3.111787670404676,0.0018595819622103944,0.179858525584026,1.1787984934897833
CHAF1B,4,4,-6.221028242247287,-2.946558045419564,0.003213321036249117,0.179858525584026,1.3142907982797676
PPIAL4E,4,4,-6.219736809726863,-2.9717767881162027,0.002960818565573797,0.179858525584026,1.2922491406267123
RPL17-C18orf32,4,4,-6.215310063236875,-2.454462175442895,0.014109550730492767,0.23083735664846913,1.816295685007286
