gene,fdr,category
NOP16,2.339178810966248e-5,1
ATP6V1B2,2.339178810966248e-5,1
CWC22,2.339178810966248e-5,1
ORC3,2.339178810966248e-5,1
FARSA,2.339178810966248e-5,1
GTF3C3,2.339178810966248e-5,1
BARD1,2.339178810966248e-5,1
SURF6,2.339178810966248e-5,1
WDR36,2.339178810966248e-5,1
MTOR,2.339178810966248e-5,1
AARS2,2.339178810966248e-5,1
TUBGCP6,2.339178810966248e-5,1
CDAN1,2.339178810966248e-5,1
COPS6,2.339178810966248e-5,1
RNF113A,2.339178810966248e-5,1
WDR33,2.339178810966248e-5,1
RTF1,2.339178810966248e-5,1
UTP14A,2.339178810966248e-5,1
TRAPPC5,2.339178810966248e-5,1
DNAJC2,2.339178810966248e-5,1
TUBG1,2.339178810966248e-5,1
RFC1,2.339178810966248e-5,1
TP53RK,2.339178810966248e-5,1
PSMD1,2.339178810966248e-5,1
NOP2,2.339178810966248e-5,1
SMC2,2.339178810966248e-5,1
BUD13,2.339178810966248e-5,1
PFDN2,2.339178810966248e-5,1
TAF1A,2.339178810966248e-5,1
FAM96B,2.339178810966248e-5,1
SLC7A6OS,2.339178810966248e-5,1
MRPS15,2.339178810966248e-5,1
DICER1,2.339178810966248e-5,1
POLE,2.339178810966248e-5,1
PSMB2,2.339178810966248e-5,1
RPS19BP1,2.339178810966248e-5,1
TRAPPC11,2.339178810966248e-5,1
DCTN6,2.339178810966248e-5,1
POLR2A,2.339178810966248e-5,1
COX6B1,2.339178810966248e-5,1
SNRPD3,2.339178810966248e-5,1
CHEK1,2.339178810966248e-5,1
MVD,2.339178810966248e-5,1
CTC1,2.339178810966248e-5,1
VPS72,2.339178810966248e-5,1
MRPL41,2.339178810966248e-5,1
FAM98B,2.339178810966248e-5,1
SNRNP25,2.339178810966248e-5,1
CDC73,2.339178810966248e-5,1
DCTN2,2.339178810966248e-5,1
SARS,2.339178810966248e-5,1
YAE1D1,2.339178810966248e-5,1
ZCCHC9,2.339178810966248e-5,1
GFM1,2.339178810966248e-5,1
DDX47,2.339178810966248e-5,1
IMP3,2.339178810966248e-5,1
OXA1L,2.339178810966248e-5,1
CCT2,2.339178810966248e-5,1
ACTR1A,2.339178810966248e-5,1
UTP3,2.339178810966248e-5,1
ITGAV,2.339178810966248e-5,1
INTS8,2.339178810966248e-5,1
PFDN6,2.339178810966248e-5,1
PRMT1,2.339178810966248e-5,1
MRPL37,2.339178810966248e-5,1
ABT1,2.339178810966248e-5,1
TLN1,2.339178810966248e-5,1
NOL8,2.339178810966248e-5,1
NDOR1,2.339178810966248e-5,1
TEFM,2.339178810966248e-5,1
EXOSC8,2.339178810966248e-5,1
GEMIN5,2.339178810966248e-5,1
MED17,2.339178810966248e-5,1
COPA,2.339178810966248e-5,1
SPCS3,2.339178810966248e-5,1
HSPA5,2.339178810966248e-5,1
OGT,2.339178810966248e-5,1
EIF2B3,2.339178810966248e-5,1
DTYMK,2.339178810966248e-5,1
ISG20L2,2.339178810966248e-5,1
PRPF4,2.339178810966248e-5,1
CCT7,2.339178810966248e-5,1
ATRIP,2.339178810966248e-5,1
POLR1A,2.339178810966248e-5,1
MOCS3,2.339178810966248e-5,1
UBE2I,2.339178810966248e-5,1
PSMD12,2.339178810966248e-5,1
MRPS18C,2.339178810966248e-5,1
U2AF1,2.339178810966248e-5,1
PSMC4,2.339178810966248e-5,1
FTSJ3,2.339178810966248e-5,1
NUP153,2.339178810966248e-5,1
VPS28,2.339178810966248e-5,1
TONSL,2.339178810966248e-5,1
VRK1,2.339178810966248e-5,1
WDR7,2.339178810966248e-5,1
POP4,2.339178810966248e-5,1
WDR18,2.339178810966248e-5,1
MED6,2.339178810966248e-5,1
INTS2,2.339178810966248e-5,1
MRPL16,2.339178810966248e-5,1
NSRP1,2.339178810966248e-5,1
VARS,2.339178810966248e-5,1
VCP,2.339178810966248e-5,1
TRAPPC8,2.339178810966248e-5,1
PSMB5,2.339178810966248e-5,1
MED18,2.339178810966248e-5,1
CTR9,2.339178810966248e-5,1
TIMM50,2.339178810966248e-5,1
PHB2,2.339178810966248e-5,1
RPL23A,2.339178810966248e-5,1
CCND1,2.339178810966248e-5,1
ELP4,2.339178810966248e-5,1
CCT4,2.339178810966248e-5,1
SAE1,2.339178810966248e-5,1
GRPEL1,2.339178810966248e-5,1
MRPL46,2.339178810966248e-5,1
SDHA,2.339178810966248e-5,1
WDR12,2.339178810966248e-5,1
RFC3,2.339178810966248e-5,1
PPP2CA,2.339178810966248e-5,1
DKC1,2.339178810966248e-5,1
TIMM44,2.339178810966248e-5,1
TPX2,2.339178810966248e-5,1
NUP98,2.339178810966248e-5,1
NOC3L,2.339178810966248e-5,1
SF3B1,2.339178810966248e-5,1
WDHD1,2.339178810966248e-5,1
MED7,2.339178810966248e-5,1
PSMA3,2.339178810966248e-5,1
TTC27,2.339178810966248e-5,1
YEATS4,2.339178810966248e-5,1
OSBP,2.339178810966248e-5,1
EXOSC10,2.339178810966248e-5,1
SF3B5,2.339178810966248e-5,1
GPN2,2.339178810966248e-5,1
EXOSC7,2.339178810966248e-5,1
RRP9,2.339178810966248e-5,1
SRFBP1,2.339178810966248e-5,1
SNUPN,2.339178810966248e-5,1
COG8,2.339178810966248e-5,1
EIF3A,2.339178810966248e-5,1
NUP107,2.339178810966248e-5,1
NCAPD2,2.339178810966248e-5,1
MED27,2.339178810966248e-5,1
EXOSC5,2.339178810966248e-5,1
EIF2B2,2.339178810966248e-5,1
GBF1,2.339178810966248e-5,1
GOSR2,2.339178810966248e-5,1
SF3B3,2.339178810966248e-5,1
