gene,sgRNA,B1,B2,B3,A1,A2,A3
RPS11,RPS11-4,3446,3420,3238,2691,2523,2322
PSMD1,PSMD1-16,6157,6401,5884,4918,5055,4419
PSMD7,PSMD7-6,2089,2199,1826,1538,1418,1420
COPZ1,COPZ1-7,2973,2887,2718,2246,2098,2018
NUP54,NUP54-16,2549,2348,2327,1570,2030,1706
COPS6,COPS6-3,1886,2016,1598,1518,1407,1030
COPS8,COPS8-1,5153,5747,5109,4030,4370,4066
NUP205,NUP205-3,4401,4485,3938,3682,3433,2793
PSMC1,PSMC1-3,5983,5604,5316,4924,4283,4163
NUP54,NUP54-9,5289,5199,4842,4486,3827,3774
RPL36,RPL36-4,4092,4629,4036,3511,3650,2831
POLA1,POLA1-9,3623,3620,3332,2760,2963,2474
COPS8,COPS8-16,2598,2707,2461,2357,1902,1685
NUP205,NUP205-6,7093,6740,6273,5771,5699,4747
POLR2F,POLR2F-7,6445,6738,6185,5546,5289,4747
RPS11,RPS11-6,4556,4423,4390,3850,3823,2950
COPZ1,COPZ1-9,4828,4911,4538,3784,4127,3508
CRYGB,CRYGB-8,4031,3572,3393,3021,3042,2629
LYZL6,LYZL6-2,7378,7657,7265,6551,6114,5625
RPS7,RPS7-4,3491,3422,3446,3043,2955,2262
RPS8,RPS8-1,5073,4836,4726,4252,3983,3602
PSMB3,PSMB3-10,5874,5582,5613,5042,5226,3799
RPL3,RPL3-5,6126,6136,5900,4740,4969,5161
MRGPRD,MRGPRD-8,4223,4334,4153,3558,3360,3375
IL1F10,IL1F10-10,3537,3718,3463,2958,3048,2629
PSMB2,PSMB2-11,4064,4109,3855,3294,3680,2810
POLA1,POLA1-10,5386,4988,4812,4486,4092,3875
POLR2F,POLR2F-4,2885,2775,2737,2729,2139,1923
MRGPRD,MRGPRD-10,3626,3226,3409,2819,3021,2471
OTUD6A,OTUD6A-8,2236,2093,2039,1745,1570,1740
RPL9,RPL9-4,857,1009,909,697,603,804
COPS8,COPS8-5,3614,3741,3881,3176,3122,2901
NUP98,NUP98-15,4393,4333,3906,3335,3673,3379
RPS24,RPS24-3,4347,4212,4329,3768,3652,3230
RPS19,RPS19-1,5231,5605,5146,4505,4382,4384
RPL9,RPL9-5,1360,1490,1236,1152,1128,935
IL1F10,IL1F10-1,2268,2190,2095,1949,1794,1555
KRT25,KRT25-2,2834,2680,2644,2189,2087,2401
PIWIL3,PIWIL3-5,4970,5023,4908,4669,4005,3849
TPH2,TPH2-8,2056,2032,1724,1728,1678,1323
RPS8,RPS8-9,7982,7616,7401,6982,6571,6109
RPL30,RPL30-2,3687,3812,3592,3287,3091,2951
RNASE9,RNASE9-4,3381,3269,3140,2628,2770,2803
NPSR1,NPSR1-10,3776,3681,3473,3055,3502,2680
PSMA3,PSMA3-5,7084,7408,6615,6442,6251,5392
PSMD1,PSMD1-14,1702,1767,1620,1554,1536,1147
DMRTB1,DMRTB1-10,7698,7979,7063,7313,6717,5584
RPL5,RPL5-9,6289,6291,6173,5247,5352,5451
POLR2D,POLR2D-10,3056,2809,2901,2629,2531,2235
RPTN,RPTN-4,1070,1119,1119,953,887,862
COPS8,COPS8-13,5899,6143,5419,5097,5411,4468
HTR3D,HTR3D-5,4134,4574,4320,3736,3616,3750
MRGPRD,MRGPRD-9,4506,4235,4224,3730,3891,3452
RPL30,RPL30-9,5898,5801,5587,5192,5184,4486
LYZL6,LYZL6-4,7538,7461,7074,6801,6864,5451
RPL27,RPL27-9,3865,3509,3393,3084,3221,2854
DMRTC2,DMRTC2-3,3484,3363,2953,2905,2930,2520
KRT25,KRT25-3,6157,5873,6009,5703,5173,4736
OLIG2,OLIG2-5,4120,4136,3909,3851,3562,3109
IL1F10,IL1F10-3,2030,2042,1781,1789,1696,1504
IL22,IL22-2,1118,1223,1210,1195,947,892
COPS2,COPS2-1,5706,5931,5133,5312,5025,4298
HTR3D,HTR3D-7,3906,3758,3937,3743,3236,3140
NUP54,NUP54-2,3500,3287,3078,3101,2792,2677
LYZL6,LYZL6-8,5637,5574,5195,4945,4946,4467
IL1F10,IL1F10-4,4564,4722,4460,4049,4436,3565
NUP93,NUP93-5,4481,4609,4263,4327,3595,3769
KRT25,KRT25-4,3986,4148,3694,3276,4013,3108
RPS11,RPS11-8,951,977,1004,830,819,881
OR9Q2,OR9Q2-8,1344,1405,1305,1225,993,1330
RXFP2,RXFP2-6,5022,5411,5333,4805,4528,4535
LUZP4,LUZP4-1,1375,1488,1272,1467,1066,1103
KRT74,KRT74-7,5332,4978,4773,4767,4360,4166
POLA1,POLA1-6,3231,3471,2966,2973,2852,2662
OC90,OC90-1,240,238,196,166,257,161
NPHS2,NPHS2-5,2767,2732,2520,2863,2357,1913
IL1F10,IL1F10-7,6670,7036,6043,6054,5981,5408
COPS2,COPS2-8,5530,5391,4917,5108,4643,4303
NPHS2,NPHS2-2,5736,5237,4865,5260,4683,4168
MRGPRD,MRGPRD-2,3230,3257,3269,3208,3331,2256
OC90,OC90-6,5638,5248,5023,5119,4651,4424
NUP93,NUP93-3,3525,3461,3252,3159,3284,2722
FCRL4,FCRL4-10,4886,5215,4852,4983,4783,3710
IL1F10,IL1F10-6,2803,2558,2643,2310,2332,2522
PSMB3,PSMB3-2,4608,4566,4263,4243,4003,3810
PIWIL3,PIWIL3-9,1538,1722,1432,1593,1391,1251
KRT74,KRT74-10,5778,5459,5065,5013,4985,4623
RPL30,RPL30-3,4940,5254,4933,4625,5081,3947
