gene,fdr,stat
CYB5R4,2.339178810966248e-5,-4.448334041163001
TOP1,2.339178810966248e-5,-4.446543749999008
POLR2D,2.339178810966248e-5,-4.440322949915384
NUP205,2.339178810966248e-5,-4.43359501006304
NUF2,2.339178810966248e-5,-4.433034998055157
ARL2,2.339178810966248e-5,-4.4303256757703915
ZMAT2,2.339178810966248e-5,-4.428958259114934
RPL12,2.339178810966248e-5,-4.4231183094607704
AARS,2.339178810966248e-5,-4.418631228447847
HNRNPC,2.339178810966248e-5,-4.417515358619279
CDC5L,2.339178810966248e-5,-4.415780621750221
PAM16,2.339178810966248e-5,-4.415130249860019
PSMC3,2.339178810966248e-5,-4.414229031972474
RPS11,2.339178810966248e-5,-4.407406469580358
CKAP5,2.339178810966248e-5,-4.402532043943501
MRPL38,2.339178810966248e-5,-4.401669582227735
NEDD1,2.339178810966248e-5,-4.3983116254330135
TRPM7,2.339178810966248e-5,-4.396488016206832
NEFL,2.339178810966248e-5,-4.3952954725979465
FNTB,2.339178810966248e-5,-4.395103160529842
TFRC,2.339178810966248e-5,-4.393537930921021
SAP30BP,2.339178810966248e-5,-4.387926877123205
NOP56,2.339178810966248e-5,-4.379717172020952
SSB,2.339178810966248e-5,-4.366496519628353
USP39,2.339178810966248e-5,-4.365723378195873
EEF1G,2.339178810966248e-5,-4.3575743763343615
MYCBP2,2.339178810966248e-5,-4.353885874878403
RBM22,2.339178810966248e-5,-4.353131146412969
RPL30,2.339178810966248e-5,-4.352326355964354
EXOSC1,2.339178810966248e-5,-4.351427679282288
MOB4,2.339178810966248e-5,-4.351385325830347
WDR55,2.339178810966248e-5,-4.35082874581261
DNTTIP1,2.339178810966248e-5,-4.350108651284034
ATP5J2,2.339178810966248e-5,-4.347667337616178
EIF4G2,2.339178810966248e-5,-4.3464933483630706
EIF3B,2.339178810966248e-5,-4.345978423300965
ORC1,2.339178810966248e-5,-4.345529654940235
UMPS,2.339178810966248e-5,-4.341017049276247
BET1,2.339178810966248e-5,-4.338745565362862
TANGO6,2.339178810966248e-5,-4.336659874682667
COPZ1,2.339178810966248e-5,-4.332418948831408
