gene,fdr,stat
CMTM7,0.42021601369083084,0.8135786128647784
STK17A,0.46915002746928897,0.8193201838281894
ZNF554,0.2426274931090733,0.7741401087360557
PRSS12,0.4593367256255121,0.8182136916913997
ANKRD36C,0.4936311672979957,0.822038091352995
PHLPP2,6.920459539981177e-7,2.6677550953202456e-5
SAMD8,0.3348091219761518,0.8001581702747353
ARID3A,0.2500619922787834,0.7769685794530773
CXADR,1.6545498151587034e-10,6.301706934053186e-9
PTPRA,0.03980745865933986,0.4620135888259048
EFHD2,0.22975774609933775,0.76863941407333225
SLC4A1,0.4580998349546369,0.8180727568868409
CBR4,0.1715623787487639,0.7373192615836196
IMP3,0,0
ZMAT3,3.34974803480432e-9,1.2368222634950854e-7
HTATSF1,2.170910567058953e-9,7.998650819462938e-8
PAIP1,0.049194757104874365,0.5098959311288143
FBXO10,0.5168050072535868,0.8245950362410492
CALML3,0.4206964457819563,0.8136309406771783
GGN,0.49942724607616185,0.8226314596177238
LRRC73,0.3628815232483423,0.8052614765405659
ACVR1,3.347339058565362e-5,0.001224865569979583
CPNE2,0.29335558709772913,0.7904383071813693
ITGA11,0.1764974049741318,0.7412491978620823
VKORC1L1,4.6653005754160234e-4,0.013945518066751816
PMVK,0,0
NPC1,0,0
EXOC8,5.717332473638282e-6,2.367624796570933e-4
RIF1,2.6393588822895644e-15,1.0547118733938987e-13
RPS4X,0,0
GRAMD1C,2.6322670936755157e-6,1.0235008294856573e-4
SNX13,0.38422866129043703,0.808485235078687
TIMM13,0,0
RIPPLY2,0,0
FBRS,0.1112341097953923,0.6724694395275808
STT3A,6.3239062944097355e-14,2.169819879327406e-12
HSF4,0.3646997878877499,0.8055780513390708
FBN3,0.04231422451816387,0.47902567888749803
ATAD1,0.1571922335543545,0.7264249483526368
DAPK2,0,0
MSX1,0.35964786607929417,0.8046609538845985
ZDHHC22,0.15852365464101253,0.7279568442222635
H2AFY,0.4107264318500336,0.8122815511445218
SCLY,0.16353364006413376,0.7314765951211535
HDAC2,7.725039182137304e-5,0.002857227588499711
GATM,0.3706743879169151,0.8065256763818238
VARS2,1.03095054926798e-12,4.404432374371936e-11
HMSD,0.4323322409855256,0.8150425482837014
OR5P2,0.06582051209083437,0.5687865538959511
TUBB8,0.008854322800629241,0.17834191477850136
TGFBR3,2.769421069717244e-6,1.0695738962263057e-4
JPH2,0.4009248753617311,0.8108591156086521
CYB5R4,0,0
VSTM2B,0.43010553624548215,0.8147736763392744
SV2A,5.542072042521616e-9,1.9692446029395683e-7
CCNJL,0.3997151004520243,0.8106727845707598
SOX8,4.953244587983597e-6,2.0495434207690177e-4
TMEM215,0.23759502645073105,0.7718869035753639
TXNL4A,0.002946208001819761,0.07531807138280877
GTPBP1,0.07760200547447829,0.6020951437496016
SLC26A2,0.23548115542043624,0.7710440731652787
RING1,0.39746404609924313,0.8103698814766531
SLC5A3,7.463927677593955e-9,2.6477944503611184e-7
KLC3,0.022635594760067525,0.3319991548185385
PARVA,5.88175081116403e-4,0.01768368111127916
MYBPC2,0.3421767588026896,0.8014651545795498
C11orf63,0.27565796288227773,0.7855721327367771
WLS,0.47805064051635776,0.820338860537572
ARHGEF10,3.1425932399513427e-13,1.2980061470102555e-11
NEK10,0.45128410504452976,0.817291109408951
PRUNE1,0.44033582715980396,0.8159703269595652
GCHFR,0.4502138670429931,0.8171703650591984
TRRAP,2.908212837900353e-4,0.009032783984498471
SFRP4,0.19567946061391137,0.7529423512819331
MMAA,0.004397168699315396,0.10601960623120787
PTRF,0.30993700923200546,0.794712307632663
PAFAH1B1,3.0749163272192077e-9,1.1080479045411096e-7
USF1,1.4318732821854865e-10,5.8786752132888864e-9
EFNA2,4.035733566870767e-5,0.0015191755550237884
SLC41A2,0.05402346785222321,0.5276385912216082
ZAR1,8.986627514240524e-4,0.025325132508506765
ACADM,0.3666122355732324,0.805873347818814
HOMER3,0,0
RNF175,3.578097968005664e-7,1.3933997409898424e-5
ATP6V1C2,0.23097970675909232,0.7692474428075916
NR4A1,0,0
TRIM58,6.616326001716307e-8,2.643064941354467e-6
PPL,0.12062738388321019,0.6849053259076099
AGPAT2,0,0
MAPK12,5.2089144660321e-14,1.8590684547348246e-12
TEX10,0,0
NLRP14,0.5005594935978462,0.822717820427399
CEP63,2.2456866560998954e-4,0.006947764258816713
SKAP1,0.45393426684649774,0.8176148384008057
FBRSL1,1.6701466491187727e-15,5.88418203051333e-14
TSPYL6,0.45398211672388766,0.8176186444813462
MDK,2.2192545149653185e-4,0.006902291327867571
SLC22A15,0.3512562699745291,0.8032378370433948
VGLL2,0.006820929474307199,0.14786696574504554
ADGRV1,0.41722400055506276,0.8131584122558061
FHL2,3.5507048553413977e-14,1.4148682225822995e-12
TBC1D1,2.5626054835138563e-15,1.0025313912365164e-13
ARHGAP23,0.42375083815091535,0.8139953669876457
PANX2,0.07127319339863,0.5870519322471858
KLRG2,0.3584613051221179,0.8044806538686863
MYEF2,0,0
PRRC2B,1.1679497885288309e-12,4.864997293907436e-11
BBS4,0.45631214354658334,0.8178546575050487
BMF,0,0
CTRB1,0.5089328516821214,0.8236924967404828
DESI2,0.32570550284794847,0.7982841747529514
MYH14,0,0
CHRDL1,0.4049105094776442,0.8114552043966683
PSMC3IP,6.180837830320326e-13,2.4424462452543594e-11
FAM83C,0.1516913226997058,0.7216792470117106
SH3YL1,0.5090912232843942,0.8237116659199675
NHEJ1,1.1380855818701947e-13,4.101718964477641e-12
CA7,0.15901338339102478,0.7282668345019667
LMO7,0.5218135319893257,0.8252923782042038
BRD8,1.9981219335722e-12,8.183886901491633e-11
ARHGAP39,0.00788901895727326,0.16161892494793784
TUBGCP5,0,0
LANCL3,6.406133894958859e-10,2.5327732910973566e-8
TMEM230,0.46056566432230417,0.8183788827860077
RCAN3,0.0020913466824654765,0.05568676481006718
C19orf47,0.017693593445502923,0.2880823650866714
RHBDF1,0.26932654785360766,0.7835866516930574
KARS,0,0
LUC7L3,0,0
SLC2A4RG,9.200147044606437e-13,4.095024319639151e-11
UBAC1,0.02845108575080701,0.38126792200810455
CLASRP,0,0
ABHD14A,2.6323550145285454e-8,1.006392541524903e-6
SEL1L3,0,0
SLC25A25,0.14029877789675657,0.7103084707968306
STAT5A,0.3230272923363954,0.7977264425996218
PRX,6.474872857012974e-10,2.5393513625182607e-8
FKRP,1.045531673490574e-12,4.545963605551151e-11
INO80E,0.26448946759066333,0.7820933707836374
MSH5,0.45912725312239994,0.818201660478993
DNAJC30,0.06920166933308433,0.5801538144803484
C3orf18,0.4511385098969062,0.817279289375884
NAPB,0.35816375240239545,0.8044201268391447
ABHD3,1.8041622536063249e-9,6.786524431312557e-8
DENND2A,6.422511144630686e-13,2.502720253261259e-11
GCAT,7.942895166001572e-11,2.8771356408441306e-9
KCNMB4,0.29839959754438483,0.7918248976188055
SREBF2,0.5082095057396215,0.8235957376690357
CPXM2,0.3186757915273538,0.7967366754322419
KLHL11,0.031009230669826825,0.40288186835541306
POPDC3,0.29643040902469703,0.7912072902764897
CYP4V2,0.13287634410773194,0.7023318984550218
NIPAL2,0.3136343471657845,0.7956927248108187
DRD5,0.4437424420755028,0.8163661900407345
USP22,3.039917677418438e-16,1.587618925213974e-14
TOX2,1.4509647045127108e-6,5.842753502449671e-5
UQCRFS1,0,0
RECQL4,0,0
DFNA5,0.34446763047401036,0.8018338593767935
CSNK1G1,1.366653139971719e-13,5.4791726711300726e-12
