gene,fdr,category
NOP16,0.0020386133333333335,1
DIS3,0.0020386133333333335,1
RAC1,0.0020386133333333335,1
PCID2,0.0020386133333333335,1
PRIM1,0.0020386133333333335,1
FBL,0.0020386133333333335,1
NOP56,0.0020386133333333335,1
PFDN1,0.0020386133333333335,1
PWP2,0.00253474801061008,1
XRCC3,0.002763180722891566,1
GTF2A2,0.002763180722891566,1
TFAM,0.002763180722891566,1
ADSL,0.002763180722891566,1
TRIAP1,0.002763180722891566,1
URB2,0.002763180722891566,1
PCNA,0.002763180722891566,1
IARS,0.002763180722891566,1
POLR3H,0.002763180722891566,1
GMPS,0.002763180722891566,1
DLST,0.002763180722891566,1
WDR74,0.002763180722891566,1
RPA1,0.002763180722891566,1
CDC73,0.002763180722891566,1
FIP1L1,0.002763180722891566,1
PGGT1B,0.002763180722891566,1
MCM5,0.002763180722891566,1
TRAPPC11,0.002763180722891566,1
MVK,0.002763180722891566,1
TAF2,0.002763180722891566,1
NOP58,0.002763180722891566,1
TRRAP,0.002763180722891566,1
NAT10,0.002763180722891566,1
DNM1L,0.002763180722891566,1
PPAN,0.002763180722891566,1
WDR75,0.002763180722891566,1
HDAC3,0.003208249400479616,1
PPIL4,0.003208249400479616,1
FAM96B,0.0036317339667458434,1
PSMD7,0.0036317339667458434,1
WDR82,0.003963317972350231,1
VPS13D,0.003963317972350231,1
UMPS,0.003963317972350231,1
PSMC3,0.003963317972350231,1
HUWE1,0.003963317972350231,1
RPL18,0.003963317972350231,1
NIP7,0.003963317972350231,1
OXSM,0.003963317972350231,1
FARSA,0.003963317972350231,1
G6PD,0.003963317972350231,1
SNRNP200,0.003963317972350231,1
RPF2,0.004285201793721973,1
NSA2,0.004285201793721973,1
MPHOSPH10,0.004285201793721973,1
COPB1,0.004285201793721973,1
MRPL11,0.004285201793721973,1
IPO9,0.004285201793721973,1
KRR1,0.004285201793721973,1
PSMA7,0.004285201793721973,1
CPSF3,0.004285201793721973,1
SOD1,0.004285201793721973,1
TRAPPC8,0.00445406779661017,1
NARS,0.00445406779661017,1
TUBGCP3,0.00445406779661017,1
MRPL4,0.00445406779661017,1
PSMG2,0.00445406779661017,1
UTP15,0.00445406779661017,1
EIF4A1,0.00445406779661017,1
MCM4,0.00445406779661017,1
RPAIN,0.00445406779661017,1
DDX55,0.00445406779661017,1
MRPS14,0.00445406779661017,1
TP53RK,0.00445406779661017,1
MED11,0.00445406779661017,1
PRKDC,0.00445406779661017,1
CHEK1,0.00445406779661017,1
TBL3,0.00445406779661017,1
UTP18,0.00445406779661017,1
TIMELESS,0.00445406779661017,1
EXOSC9,0.00445406779661017,1
INO80,0.00445406779661017,1
MRPL51,0.004699672131147541,1
CDC45,0.004699672131147541,1
RRP1,0.004699672131147541,1
MRPS9,0.004699672131147541,1
ATP2A2,0.004699672131147541,1
CTU2,0.004699672131147541,1
ABCB7,0.004699672131147541,1
WRB,0.004699672131147541,1
LSM7,0.004699672131147541,1
PSMC4,0.004699672131147541,1
XAB2,0.004699672131147541,1
PPP2CA,0.004969119999999999,1
NELFCD,0.004969119999999999,1
POLD1,0.004969119999999999,1
ISCU,0.004969119999999999,1
CTNNBL1,0.004969119999999999,1
MRPS18B,0.004969119999999999,1
VRK1,0.004969119999999999,1
GMPPB,0.004969119999999999,1
WDR36,0.005308888888888888,1
SF3B5,0.005308888888888888,1
HARS,0.005308888888888888,1
TNPO3,0.005308888888888888,1
XPO5,0.005676831683168316,1
MRPL17,0.005926201550387597,1
CCND1,0.005926201550387597,1
DHX15,0.005926201550387597,1
EIF2B3,0.005926201550387597,1
SMC2,0.005926201550387597,1
HUS1,0.005926201550387597,1
CKAP5,0.005926201550387597,1
PDRG1,0.005926201550387597,1
NDC80,0.006254836363636364,1
NUP88,0.006254836363636364,1
CCDC94,0.006254836363636364,1
CLTC,0.006254836363636364,1
CTC1,0.006254836363636364,1
NCBP1,0.006254836363636364,1
POLR2G,0.006254836363636364,1
RPL13,0.006254836363636364,1
CENPM,0.006254836363636364,1
POLR2B,0.006254836363636364,1
PFDN6,0.006254836363636364,1
NCL,0.006254836363636364,1
SON,0.006254836363636364,1
SENP6,0.006254836363636364,1
KIF23,0.006254836363636364,1
ATP6V1C1,0.006254836363636364,1
POLD2,0.006254836363636364,1
ATP5A1,0.006254836363636364,1
NCBP2,0.006254836363636364,1
COG2,0.006254836363636364,1
VMP1,0.006254836363636364,1
NCAPD2,0.006254836363636364,1
SFPQ,0.006254836363636364,1
RPS9,0.006381862917398945,1
NAE1,0.006381862917398945,1
PSMG1,0.006381862917398945,1
COX15,0.006381862917398945,1
NAPA,0.006381862917398945,1
UTP6,0.006381862917398945,1
RPS21,0.006381862917398945,1
BCAS2,0.006381862917398945,1
KARS,0.006381862917398945,1
CUL2,0.006381862917398945,1
COASY,0.006381862917398945,1
MRPS25,0.006381862917398945,1
SIN3A,0.006381862917398945,1
IPO7,0.006381862917398945,1
UTP3,0.006889905956112853,1
METTL16,0.006889905956112853,1
RCL1,0.006889905956112853,1
VARS2,0.006889905956112853,1
DDX23,0.006889905956112853,1
RNASEH2A,0.006889905956112853,1
EIF2S3,0.006889905956112853,1
TOMM40,0.006889905956112853,1
PTPMT1,0.006889905956112853,1
RBM17,0.006889905956112853,1
CPSF2,0.006889905956112853,1
MRPS10,0.006889905956112853,1
TAF13,0.006889905956112853,1
CINP,0.006889905956112853,1
GTF2B,0.006889905956112853,1
INTS1,0.006889905956112853,1
WDR7,0.006889905956112853,1
RUVBL1,0.006889905956112853,1
PSMD6,0.006889905956112853,1
SPC24,0.006889905956112853,1
LSM11,0.006889905956112853,1
PLRG1,0.006889905956112853,1
PLK1,0.006889905956112853,1
DR1,0.006889905956112853,1
HSD17B10,0.006889905956112853,1
RBBP5,0.006889905956112853,1
PCF11,0.006889905956112853,1
NUDCD3,0.006889905956112853,1
DDX41,0.006889905956112853,1
MRPL20,0.006889905956112853,1
NOP14,0.006889905956112853,1
USP7,0.006889905956112853,1
YARS2,0.006889905956112853,1
C14orf80,0.006889905956112853,1
OPA1,0.006889905956112853,1
RABGGTA,0.006889905956112853,1
RRM1,0.006889905956112853,1
HSPA14,0.006889905956112853,1
QARS,0.006889905956112853,1
SAP18,0.006889905956112853,1
PMVK,0.006889905956112853,1
ARIH1,0.006889905956112853,1
RTFDC1,0.006889905956112853,1
KAT8,0.006918371040723982,1
TNPO1,0.006918371040723982,1
U2SURP,0.006918371040723982,1
SNUPN,0.006918371040723982,1
MTHFD1,0.006918371040723982,1
PGK1,0.006918371040723982,1
RBM19,0.006918371040723982,1
HCFC1,0.006918371040723982,1
COG4,0.006918371040723982,1
PSMD11,0.006918371040723982,1
POLR1E,0.006918371040723982,1
PELO,0.006918371040723982,1
TUBGCP4,0.006918371040723982,1
SPDL1,0.006918371040723982,1
UQCRB,0.0077481081081081085,1
ARFRP1,0.0077481081081081085,1
C1orf109,0.00794051575931232,1
MFAP1,0.00794051575931232,1
UTP20,0.00794051575931232,1
RPIA,0.00794051575931232,1
POLA1,0.00794051575931232,1
YTHDC1,0.00794051575931232,1
VPS25,0.00794051575931232,1
RANGAP1,0.00794051575931232,1
MRPS2,0.00794051575931232,1
EIF2B4,0.00794051575931232,1
PMPCA,0.00794051575931232,1
TRMT61A,0.00794051575931232,1
SACM1L,0.00794051575931232,1
PSMA2,0.00794051575931232,1
DDX6,0.00794051575931232,1
TICRR,0.00794051575931232,1
XRN2,0.00794051575931232,1
RPL3,0.00794051575931232,1
TRMT112,0.00794051575931232,1
SUPV3L1,0.00794051575931232,1
HEATR1,0.00794051575931232,1
SNRNP48,0.008155903271692744,1
TAF1C,0.008155903271692744,1
POLE,0.008155903271692744,1
RBM48,0.008155903271692744,1
TBCD,0.00828632167832168,1
NOL6,0.00828632167832168,1
DDX54,0.00828632167832168,1
DAD1,0.00828632167832168,1
SAE1,0.00828632167832168,1
POLE2,0.00828632167832168,1
DDX18,0.008723319502074688,1
CIAO1,0.008723319502074688,1
CD3EAP,0.008723319502074688,1
RPAP2,0.008723319502074688,1
ACTR3,0.008745733512786003,1
DHX16,0.008745733512786003,1
TTC27,0.008745733512786003,1
PSMB2,0.008745733512786003,1
NAA50,0.008745733512786003,1
RPS11,0.008745733512786003,1
NUP155,0.008745733512786003,1
SMARCA5,0.008745733512786003,1
IDH3A,0.008745733512786003,1
HAUS4,0.008745733512786003,1
KANSL1,0.008745733512786003,1
TEX10,0.008745733512786003,1
KANSL3,0.008745733512786003,1
MTOR,0.008966756032171582,1
POLR3K,0.009137211155378485,1
SF1,0.009137211155378485,1
WDR55,0.009378567639257294,1
SRSF11,0.009768912188728702,1
INTS6,0.009768912188728702,1
RPF1,0.009768912188728702,1
RNPC3,0.009768912188728702,1
DCTN6,0.00983886743886744,1
POLR2D,0.00983886743886744,1
AARS,0.00983886743886744,1
INTS9,0.00983886743886744,1
DHPS,0.00983886743886744,1
PAFAH1B1,0.00983886743886744,1
ILF2,0.00983886743886744,1
XPO1,0.00983886743886744,1
DDX42,0.010007560664112389,1
ALG1,0.010007560664112389,1
THOC1,0.010084221105527638,1
MRGBP,0.010084221105527638,1
ALYREF,0.010084221105527638,1
SPC25,0.010084221105527638,1
CENPA,0.010084221105527638,1
GINS3,0.010723690773067332,1
