gene,fdr,stat
PSMD6,5e-4,1.1993e-7
PSMB2,7.49e-4,1.7044e-6
NUP98,0.001166,2.3518e-6
RPS13,0.002872,1.8116e-5
PSMC4,0.004768,3.4043e-5
PSMD11,0.004768,3.8222e-5
PSMC1,0.004768,5.6349e-5
RPL3,0.004768,5.8982e-5
RPL11,0.004768,6.8729e-5
COPB1,0.004768,1.0014e-4
PSMD7,0.004768,1.0243e-4
COPS4,0.005341,1.243e-4
POLR2F,0.005341,1.325e-4
RPS19,0.005816,1.466e-4
RPL18A,0.00636,1.7753e-4
NUP205,0.007212,1.9738e-4
COPA,0.009185,2.5929e-4
POLR2D,0.009185,2.6348e-4
RPS8,0.010647,3.2546e-4
POLR2A,0.016858,4.8931e-4
NUP93,0.01772,4.9853e-4
NUP54,0.030538,0.0010303
PSMC2,0.037202,0.001118
RPL36,0.054004,0.0023084
COPS6,0.054004,0.0023207
RPS3A,0.054004,0.0030268
POLA1,0.068987,0.0032254
COPS8,0.11126,0.0050026
RPS11,0.104949,0.0053475
RPL35A,0.11126,0.0077202
COPZ1,0.147267,0.0081778
RPS9,0.143403,0.0089913
RPS27,0.11126,0.0093534
NUP133,0.147267,0.010453
RPL34,0.147267,0.012001
PSMD1,0.200869,0.014721
RPL5,0.257621,0.022332
RPL9,0.307495,0.028708
RPL30,0.307526,0.029598
PSMB3,0.32749,0.033783
PSMA3,0.32749,0.033849
COPS2,0.625084,0.089094
RPL6,0.388338,0.10239
RPS24,0.976149,0.16509
RPL27,0.999995,0.3311
IL1F10,0.999995,0.50655
RPS7,0.999995,0.52559
MRGPRD,0.999995,0.89934
KRT25,0.999995,0.91155
LYZL6,0.999995,0.95735
OR9Q2,0.999995,0.98128
HTR3D,0.999995,0.99493
NPSR1,0.999995,0.99598
OTUD6A,0.999995,0.99605
CRYGB,0.999995,0.9962
PIWIL3,0.999995,0.99683
DMRTC2,0.999995,0.997
IL22,0.999995,0.99706
TPH2,0.999995,0.99717
OC90,0.999995,0.99756
RXFP2,0.999995,0.99774
RPTN,0.999995,0.99779
OLIG2,0.999995,0.99783
NPHS2,0.999995,0.99795
DMRTB1,0.999995,0.99799
RNASE9,0.999995,0.99814
LHX5,0.999995,0.9985
LUZP4,0.999995,0.99862
CABP5,0.999995,0.9987
ADH7,0.999995,0.99887
KRT74,0.999995,0.99892
FAM71B,0.999995,0.99906
SPATA16,0.999995,0.99917
TAAR8,0.999995,0.99921
CYP7A1,0.999995,0.99926
KRT9,0.999995,0.99929
FCRL4,0.999995,0.99932
SAGE1,0.999995,0.99936
POU4F2,0.999995,0.99943
TAS2R13,0.999995,0.99956
TRIM42,0.999995,0.99967
OR12D2,0.999995,0.99975
MAGEB3,0.999995,0.99979
ABCG8,0.999995,0.99981
VN1R2,0.999995,0.99982
NLRP5,0.999995,0.99987
KRT77,0.999995,0.99996
PLA2G2E,0.999995,0.99996
DEFB129,0.999995,0.99997
TAS2R9,0.999995,0.99998
TAAR1,0.999995,0.99999
TGM6,0.999995,0.99999
OR52E8,0.999995,1
