sgrna,Gene,control_count,treatment_count,control_mean,treat_mean,LFC,control_var,adj_var,score,p.low,p.high,p.twosided,FDR,high_in_treatment
RPL18A-6,RPL18A,5846.5/5756.6/5559.8,709.71/514.02/860.16,5719.7,679.54,-3.0714,21505,41553,24.726,2.8394e-135,1,5.6788e-135,2.2739e-133,False
RPL5-5,RPL5,6744.5/6449.1/6199,1225.8/1044.7/954.56,6460.4,1069.2,-2.5939,74578,47609,24.708,4.3762e-135,1,8.7524e-135,3.3644e-133,False
PSMB2-2,PSMB2,4564.6/4355.8/5096.6,145.01/173.81/225.39,4662.1,178.43,-4.6998,146070,33069,24.656,1.5791e-134,1,3.1581e-134,1.1673e-132,False
RPS8-7,RPS8,5540.2/5559.9/5857.1,638.56/853.31/640.55,5650.5,704.08,-3.0028,31525,40992,24.431,3.9715e-132,1,7.943e-132,2.8271e-130,False
RPL11-2,RPL11,6847.9/6728/7059.1,1197/1491.2/1468.9,6877,1378.9,-2.3174,28096,51052,24.333,4.3592e-131,1,8.7184e-131,2.9923e-129,False
PSMC1-9,PSMC1,7994.8/7717.9/8057.6,1896.8/1984.9/2062.3,7922.1,1980.2,-1.9997,32672,59799,24.298,1.017e-130,1,2.034e-130,6.7402e-129,False
RPS9-10,RPS9,6250.5/6050.2/6193.3,1185.3/1092.8/922.77,6164.1,1061.2,-2.537,10645,45176,24.008,1.138e-127,1,2.276e-127,7.2908e-126,False
RPS11-2,RPS11,9775.5/9227.7/8903.2,3096.4/2640.4/3036.1,9295.2,2917.1,-1.6716,194450,71501,23.853,4.7436e-126,1,9.4872e-126,2.941e-124,False
POLR2D-9,POLR2D,5117/5225.6/5574.2,761.05/590.75/635.73,5302.1,658.72,-3.0069,57081,38178,23.764,3.9005e-125,1,7.8009e-125,2.3427e-123,False
RPL9-3,RPL9,5741.2/5097.3/6007.1,826.8/704.47/1016.2,5601.9,839.62,-2.7367,219140,40598,23.636,8.308e-124,1,1.6616e-123,4.8388e-122,False
PSMD11-5,PSMD11,4370.3/4520.1/4572.8,484.55/248.69/288.97,4486.9,326.55,-3.7762,11040,31684,23.373,4.0444e-121,1,8.0888e-121,2.2863e-119,False
PSMB2-12,PSMB2,4087.9/4259.7/3907.6,165.72/249.61/65.499,4082.5,139.43,-4.8619,31013,28513,23.352,6.6345e-121,1,1.3269e-120,3.6433e-119,False
RPS19-2,RPS19,5637.8/5741.8/6269.8,1353.7/703.54/1233.9,5876.7,1055.3,-2.4763,114870,42829,23.298,2.3468e-120,1,4.6936e-120,1.2529e-118,False
RPS11-1,RPS11,4992.6/4669.7/4432.8,497.16/511.25/385.29,4692.8,460.93,-3.345,78988,33312,23.186,3.129e-119,1,6.258e-119,1.6254e-117,False
PSMD6-4,PSMD6,5142.9/5828.6/5468.9,891.65/820.95/908.32,5473,872.8,-2.6472,117730,39555,23.13,1.1602e-118,1,2.3204e-118,5.8682e-117,False
RPL27-10,RPL27,5136.2/5324.4/4835.4,512.47/840.37/813.93,5094.7,705.09,-2.8514,60855,36514,22.972,4.4588e-117,1,8.9177e-117,2.1974e-115,False
RPS13-8,RPS13,5275.9/5829.5/5496.3,936.68/902.31/1048,5529.3,960.36,-2.5242,77705,40010,22.842,8.8293e-116,1,1.7659e-115,4.2425e-114,False
RPS8-4,RPS8,4186.5/4722.3/4474.7,377.37/425.27/449.83,4455.8,416.38,-3.4166,71968,31439,22.782,3.4917e-115,1,6.9834e-115,1.6368e-113,False
RPL11-8,RPL11,3973/3389.9/3709.9,36.927/92.45/44.308,3683.2,53.289,-6.0845,85373,25417,22.768,4.7537e-115,1,9.5074e-115,2.1754e-113,False
PSMD11-9,PSMD11,5885.8/6071.5/5786.4,1051.1/1471.8/1237.7,5913.4,1241.8,-2.2507,20943,43127,22.495,2.314e-112,1,4.628e-112,1.0343e-110,False
RPL34-1,RPL34,5505.7/5079.7/5119.7,831.3/782.12/1014.3,5231.6,870.42,-2.5861,55365,37611,22.488,2.7487e-112,1,5.4974e-112,1.2007e-110,False
RPL11-9,RPL11,3697.3/4362.2/4056.2,212.55/240.37/401.67,4029.4,273.78,-3.8745,110900,28099,22.404,1.7813e-111,1,3.5626e-111,7.6082e-110,False
COPS2-4,COPS2,6681.3/6751.1/6831.1,1834.6/1485.7/1987.1,6754.2,1756.2,-1.9428,5614.2,50035,22.344,6.8826e-111,1,1.3765e-110,2.8757e-109,False
