gene,fdr,stat
BRF2,0,0
USP30,0.08191060316235019,0.6139286410007099
ATXN7L3B,0.3964955580373906,0.810008736308498
PLS3,0,0
CD302,0.03633098846615462,0.44167853469550744
ZNF521,0.44841409745102107,0.816741529187119
SERTAD2,0.3048146288302275,0.7933171295858845
YIF1B,0.23498247197805694,0.7705607616916619
MRPL13,0,0
CA12,0.4871337680015798,0.8212131901479893
ZNF730,5.772390076040676e-19,1.1102230246251565e-16
NAT10,0,0
PNPLA6,0.15877104636949538,0.7275884201817397
ZCCHC17,9.545846993700618e-12,3.651173807739383e-10
TBC1D23,0.3204159331587352,0.7969563838429785
NLRP8,0.3739225065514494,0.8067603132319254
PRR15L,0.44529411756407783,0.8163493553427478
HHIPL2,0.29384330341068426,0.7902779157028548
FBXL5,4.7460572383769015e-15,1.8951507030351422e-13
CCDC102A,0.4722469289314443,0.8195382878726601
RSPO4,0.46181876976240677,0.8183100859547183
SFSWAP,9.872157078830202e-13,4.3248848946575436e-11
PNMA3,0.45441327424073935,0.8174313942603016
MRPL54,0,0
NNT,4.085184691366192e-15,1.6686652060116103e-13
RARRES2,0.17367483599087596,0.7385417738881059
UBR7,0.16624899249621922,0.7333526110512009
CNOT2,0,0
CHPF,0.42943109258985984,0.8144780786712744
IGHMBP2,1.9950742916881346e-11,7.389354683695615e-10
ACSF2,0.1924992014103038,0.7508762041364956
ZNF780A,2.1323203724219752e-4,0.006610765330146706
ATG4C,0.47762764580225364,0.8200779340607169
TEK,0.49873089629598427,0.8223742128137421
PGRMC2,0.4417179651162899,0.8159058832891098
WDSUB1,0.4288360570442797,0.8143651686345194
LRRC37A3,6.783726975680063e-10,2.629129736142488e-8
FOXM1,2.5339969106149472e-14,1.0620393453564247e-12
SLC16A1,5.4863473216957455e-12,2.0316492932437313e-10
ELP2,0,0
MRPL19,0,0
PKHD1,0.47819477431665036,0.8201329004269603
ALPK3,0.44641403157137527,0.8164848153618588
TMEM132E,0.31125987492634166,0.794860163588289
C8orf59,0,0
HIVEP1,0.37485972550996755,0.8069448278489548
TTC34,0.12251128935011502,0.6874112120690344
IL12RB2,0.15435312266183823,0.7235325597310001
